label,sentences
0,"amazon services llc and/or its affiliates -lrb- `` amazon '' -rrb- provide website features and other products and services to you when you visit or shop at amazon.com , use amazon products or services , use amazon applications for mobile , or use software provided by amazon in connection with any of the foregoing -lrb- collectively , `` amazon services '' -rrb- ."
1,"for users residing in the eu or european economic area or elsewhere where our arbitration agreement is prohibited by law , the laws of texas , u.s.a. , excluding texas 's conflict of laws rules , will apply to any disputes arising out of or relating to this agreement or the services ."
0,• returns have been automated ;
0,rovio 's privacy policy as amended from time to time is available at www.rovio.com/privacy -lrb- `` privacy policy '' -rrb- and applicable to this eula .
0,skype has registered and filed applications to register its trademarks in many countries worldwide .
0,"if for any reason a court of competent jurisdiction finds any provision of these terms invalid or unenforceable , that provision will be enforced to the maximum extent permissible and the other provisions of these terms will remain in full force and effect ."
0,attn : arbitration opt-out 1601 willow road
1,"you agree not to hold linden lab liable for the content , actions , or inactions of other users ."
0,the app provider and its subsidiaries are third-party beneficiaries of these terms as it relates to your license to the applications .
0,"the rights to download and use the products are licensed to you and are not being sold to you , and you have no rights in them other than to use them in accordance with this license agreement and our other terms ."
0,we provide the services `` as is '' .
0,spams or solicits our users .
1,10.1 the licensor is entitled to revise these terms of use at any time .
0,content licenses and intellectual property rights
0,"as soon as you submit your payment details , your free trial will begin ."
0,"the arbitrator , oculus and you shall maintain the confidentiality of any proceedings , including , but not limited to , any and all information gathered , prepared and presented for the purposes of the arbitration or related to the dispute -lrb- s -rrb- therein ."
1,"you understand that through your use of the yahoo services you consent to the collection and use -lrb- as set forth in the applicable privacy policy -rrb- of this information , including the transfer of this information to the united states and/or other countries for storage , processing and use by yahoo and its affiliates ."
1,"arbitration notice : except if you opt-out and except for certain types of disputes described in the arbitration section below , you agree that disputes between you and instagram will be resolved by binding , individual arbitration and you waive your right to participate in a class action lawsuit or class-wide arbitration ."
0,"you will not use the service to distribute or upload any virus , trojan horses or do anything else that might cause harm to the service , betterpoints.uk systems or to other members ' systems in any way ."
0,dispute resolution & governing law .
0,masquerade respects the intellectual property rights of others and we expect our users to do the same .
0,you can purchase skype credit using any payment method made available to you by skype from time to time .
0,"you are responsible for obtaining access to the yahoo services , and that access may involve third-party fees -lrb- such as internet service provider or airtime charges -rrb- ."
1,under no circumstances will myfitnesspal be responsible for any loss or damage resulting from your reliance on nutritional information .
0,"`` dispute '' as used in this section 18 means any dispute , cause of action , claim or controversy arising out of or in any way related to oculus , these terms , the subject matter of these terms or access to and use of the services , including , but not limited to , contract , personal injury , tort , warranty , statute or regulation , or other legal or equitable basis and disputes that involve third parties -lrb- such as developers of third-party content -rrb- , except any dispute , cause of action , claim or controversy relating to oculus ' intellectual property -lrb- such as trademarks , trade dress , domain names , trade secrets , copyrights and/or patents -rrb- ."
0,10.1 the service may include hyperlinks to other web sites that are not owned or controlled by youtube .
0,"as a parent or guardian of a child under the age of thirteen -lrb- 13 -rrb- from whom we have collected personal data , you have the right to review and request deletion of such personal data , and to refuse to permit further collection or use of such personal data ."
0,"you hereby represent and warrant that -lrb- i -rrb- you are not located in a country that is subject to a u.s. government embargo , or that has been designated by the u.s. government as a `` terrorist supporting '' country ; and -lrb- ii -rrb- you are not listed on any u.s. government list of prohibited or restricted parties ."
0,"our notice to you via email , regular mail , or notices or links displayed in connection with the services constitutes acceptable notice to you under the terms ."
0,"subject to the terms and conditions set out in these terms of service , you are hereby granted a non-exclusive , limited , non-transferable , freely revocable license to use the services for your internal business purposes ."
0,"if there is a charge associated with a portion of the services , you agree to pay that charge ."
1,"microsoft or the owners of the digital goods may , from time to time , remove digital goods from the services without notice ."
0,"to take advantage of these features and capabilities , we may ask you to authenticate , register for , or log into social networking services on the websites of their respective providers ."
0,"once memories is enabled , it will remain enabled for as long as you maintain your snapchat account ."
0,claims can be filed with aaa online -lrb- www.adr.org -rrb- ;
0,"if you review or submit user material , you are agreeing to do so in accordance with these terms ."
0,"you may not rent , lease , lend , sell , redistribute or sublicense the material and/or the services ."
0,this paragraph does n't override those laws .
0,"these and other features may require our systems to access , store and scan your stuff ."
0,"we may not monitor or control the content posted via the services and , we can not take responsibility for such content ."
0,this website may include links to other internet sites/websites and resources and/or services owned and/or operated by participating companies and/or third parties -lrb- `` external links '' -rrb- .
0,all information provided as part of our registration process is covered by our privacy policy .
0,we may calculate taxes payable by you based on the billing information that you provide us at the time of purchase .
0,"12.4 no conditions , warranties or other terms -lrb- including any implied terms as to satisfactory quality , fitness for purpose or conformance with description -rrb- apply to the service except to the extent that they are expressly set out in the terms ."
0,"by way of example , and not as a limitation , you agree that when using the services and content , you will not :"
0,your user content will be processed by zynga in accordance with its privacy policy .
1,we have no control over the contents of those sites or resources and accept no responsibility for them or for any loss or damage that may arise from your use of them .
0,"your address , telephone number , and e-mail address ;"
0,"to the maximum extent permitted by applicable law , you and under armour agree that any dispute resolution proceedings will be conducted only on an individual basis and not in a class , consolidated or representative action ."
0,"9.4 for experiences , events and other host services , if inclement weather creates an unsafe or uncomfortable scenario for guests , hosts may modify or cancel a host service ."
0,"-lrb- ii -rrb- where available , an emergency call made using the internet communications software in an enabled country may not receive the same network priority as a call made using traditional wireless -lrb- mobile -rrb- or fixed line telephone services ."
0,the rights you grant us in this section 5 are only for the limited purpose of offering and improving the fitbit service .
1,"skype reserves the right to change the terms related to skype numbers and/or skype to go numbers , including without limitation to impose or amend any residency requirements and/or require the provision of further user information for continued access to such numbers ."
0,"you will not hold booking.com or ems liable or responsible for any -lrb- authorized , -lrb- allegedly -rrb- unauthorized or wrong -rrb- charge by the supplier and not -lrb- re -rrb- claim any amount for any valid or authorized charge by the supplier -lrb- including for pre-paid rates , no-show and chargeable cancellation -rrb- of your credit card or debit card ."
0,"the contents , including without limitation commentary , blogs , news feeds and advice , of the website do not constitute advice and should not be relied upon in making or refraining from making any decision ."
0,digital goods may be owned by microsoft or by third parties .
0,you are responsible for all transactions made via your nintendo account .
0,the arbitrator will render an award within the time frame specified in the aaa rules .
0,"a statement that you have a good faith belief that the use of the material in the manner complained of is not authorized by the copyright owner , its agent , or the law ;"
1,-lrb- f -rrb- any other commercial damages or losses
0,"• use any meta tags or other hidden text or metadata utilizing a academia.edu trademark , logo url or product name without academia.edu 's express written consent ;"
0,we do n't claim ownership of your content .
0,4.5 you are responsible for maintaining the confidentiality and security of your airbnb account credentials and may not disclose your credentials to any third party .
0,"infringes on any trademark , patent , trade secret , copyright , or other proprietary right of any party ;"
1,"this means we may add new product features or enhancements from time to time as well as remove some features , and if these actions do not materially affect your rights or obligations , we may not provide you with notice before taking them.we may even suspend the services entirely , in which event we will notify you in advance unless extenuating circumstances , such as safety or security concerns , prevent us from doing so ."
0,these terms supersede any prior agreements or earlier versions of these terms between you and evernote for the use of the service as of the effective date indicated at the top of these terms .
0,"unless you choose to opt out , this dispute resolution provision in section 18 shall survive termination of these terms ."
1,"in no event will academia.edu 's aggregate liability arising out of or in connection with these terms or from the use of or inability to use the site , services or collective content exceed the greater of fifty dollars -lrb- $ 50 -rrb- and subscription fees paid by you during the 12 month period before the act giving rise to the liability ."
0,"deliveroo markets meals on behalf of our partner restaurants , concludes orders on their behalf and delivers the meals to you ."
0,we may report any such breach to the relevant law enforcement authorities and we may cooperate with those authorities by disclosing your identity to them .
0,for more information visit www.fitbit.com/productcare .
0,"if applicable law does not allow the exclusion of some or all of the above implied warranties to apply to you , the above exclusions will apply to you only to the extent permitted by applicable law ."
0,"such content may not be downloaded , copied , reproduced , distributed , transmitted , broadcast , displayed , sold , licensed , or otherwise exploited for any other purpose whatsoever without the prior written consent of youtube or , where applicable , youtube 's licensors ."
0,"uber does not guarantee the quality , suitability , safety or ability of third party providers ."
0,oculus has no obligation to provide support for third-party content .
0,this does not affect your statutory rights as a consumer .
0,"in addition , both host and co-host acknowledge that their co-hosting relationship will terminate in the event that airbnb -lrb- i -rrb- terminates the co-host service or -lrb- ii -rrb- terminates either party 's participation in the co-host service ."
0,"for non-billing customer assistance , please go to https://zyngasupport.helpshift.com/ , or for black diamond slots , email support@risingtidegames.com , or for naturalmotion games you may also obtain customer assistance by clicking on the `` support '' link on that game 's page found on naturalmotion 's website ."
0,the software or website that is part of the services may include third-party code .
0,"• is offensive , abusive , defamatory , pornographic , threatening , or obscene ;"
0,help us keep you informed and your stuff protected .
0,the arbitrator may award declaratory or injunctive relief only to you individually to satisfy your individual claim .
0,-lrb- i -rrb- you do not own the number or have a right to retain that number forever ;
0,"17.2 to contact skype in relation to the qik software or `` qik '' branded products , please submit a support request to support.qik.com ."
0,"if you are a resident of denmark : notwithstanding anything in these terms to the contrary , if there is a dispute that you and under armour can not resolve , you have the right to submit a complaint to the danish competition and consumer authority -lrb- konkurrence - og forbrugerstyrelsen , center for klageløsning , carl jacobsens vej 35 , 2500 valby , mail : cfk@kfst.dk -rrb- ."
0,"further , by accessing and using our services , you understand and agree that your personal data -lrb- as that term is defined in our privacy policy -rrb- and user-generated content -lrb- defined below -rrb- that is shared with a service may also be shared among the entirety of under armour and its other services ."
0,"if you do not agree to these amended terms , you may close your account within the 30-day period and you will not be bound by the amended terms ."
0,alcoholic beverages can only be sold and delivered to persons aged 18 or over .
0,-lrb- v -rrb- deep-link to any portion of this website for any purpose without our express written permission ;
1,"if you reside in brazil , these terms and the relationship between you and evernote -lrb- including any dispute -rrb- shall be governed in all respects by the laws of brazil and shall be considered to have been made and accepted in brazil , without regard to conflict of law provisions ."
0,"while we require all of our athletes to comply with the community guidelines and reserve the right to monitor for violations , we ultimately can not guarantee they will comply with the community guidelines or these terms ."
0,"you agree that if a third-party claims that material you have contributed to our service is unlawful , you will bear the burden of establishing that it is lawful ."
0,"you 're okay with us providing notices to you through our websites , apps , and contact information your provided to us ."
0,"other than a limited , personal , revocable , non-transferable , non-sublicensable license to use the game currency and virtual goods in the services only , you have no right or title in or to any such game currency or virtual goods appearing or originating in the services , or any other attributes associated with use of the services or stored within the services ."
1,termination of your account can include disabling your access to the service or any part thereof including any content you submitted or others submitted .
0,"• a transaction is cancelled , to refund the buyer , you -lrb- as seller -rrb- authorize ebay to request that paypal remove the refund amount -lrb- in same or other currency -rrb- from your paypal account ."
0,"where airbnb is facilitating collection and remittance , hosts are not permitted to collect any occupancy taxes being collected by airbnb relating to their accommodations in that jurisdiction ."
0,"some of our services may include reviews , discussion forums , conversation pages , blogs or other interactive areas or social features that allow you and other athletes to post user-generated content and interact with one another -lrb- `` interactive areas '' -rrb- ."
0,the company 's designated agent for receipt of notifications of claimed infringement -lrb- the `` designated agent '' -rrb- can be contacted at :
0,2.2 you can accept the terms by simply using the service .
0,"uber may from time to time provide certain users with promotional offers and discounts that may result in different amounts charged for the same or similar services or goods obtained through the use of the services , and you agree that such promotional offers and discounts , unless also made available to you , shall have no bearing on your use of the services or the charges applied to you ."
1,"the law of the state of california govern our terms and policies , as well as any disputes , whether in court or arbitration , which might arise between masquerade and you , without regard to conflict of law provisions ."
0,cancelation and refunds : users who purchase annual subscriptions have thirty -lrb- 30 -rrb- days after their purchase to cancel and receive a full refund .
1,"if you initiate a chargeback or otherwise reverse a payment made with your payment method , tinder may terminate your account immediately in its sole discretion ."
0,• number of listings matching the buyer 's query .
0,the facebook companies and third-party services ' terms and privacy policies will govern your use of such services .
0,"while we may edit and make formatting changes to your content -lrb- such as translating it , modifying the size , layout or file type or removing metadata -rrb- , we will not modify the meaning of your expression ."
0,"199 fremont street , 14th floor"
1,we may amend these terms .
0,"you may find them or the information and content posted therein not compatible with your requirements , objectionable , annoying , improper , unlawful or immoral ."
0,"no advice or information , whether oral or written , obtained by you from evernote or through or from the service shall create any warranty not expressly stated in these terms of service ."
0,the arbitrator will render an award within the time frame specified in the aaa rules .
0,deliveroo alone will determine whether an order is a started order or not .
0,"if you are a california resident , you may have the agreements mailed to you electronically by sending a letter to spotify , attn : general counsel , 45 west 18th street , 7th floor , new york , new york 10011 , usa with your email address and a request for the agreements ."
0,"for support-related inquiries , you may contact us ."
0,"-lrb- f -rrb- to retain a copy , you must either have a printer connected to your personal computer or other device or , alternatively , the ability to save a copy through use of printing service or software such as adobe acrobat ® ."
1,"you also acknowledge that a variety of evernote actions may impair or prevent you from accessing your content or using the service at certain times and/or in the same way , for limited periods or permanently , and agree that evernote has no responsibility or liability as a result of any such actions or results , including , without limitation , for the deletion of , or failure to make available to you , any content ."
1,"in no event shall vivino , nor its directors , employees , agents , representatives , partners , suppliers or content providers , be liable under contract , tort , strict liability , negligence or any other legal or equitable theory or otherwise -lrb- and whether or not vivino , its directors , employees , agents , representatives , partners , suppliers or content providers had prior knowledge of the circumstances giving rise to such loss or damage -rrb- with respect to the site , service , content , user submissions or add-to link for :"
1,"these terms shall be governed and construed in accordance with the laws of sweden , excluding its choice of law rules ."
0,"if we discover a pricing or other material error related to a service that has yet to be dispatched or delivered , we will contact you to inform you of this error and give you the option of continuing to purchase at the correct price or cancelling your order ."
0,you acquire no rights whatsoever to all or any part of the services except for the limited use rights granted by these terms of service .
0,"except for the rights expressly granted to you in these agreements , spotify grants no right , title , or interest to you in the spotify service or content ."
0,you are not permitted to terminate it before the expiry of the 2-year minimum term except in case of breach by skype of the terms .
0,"in addition , airbnb may -lrb- i -rrb- keep the calendar for the listing unavailable or blocked for the dates of the cancelled booking , and/or -lrb- ii -rrb- impose a cancellation fee , unless the host has a valid reason for cancelling the booking pursuant to airbnb 's extenuating circumstances policy or has legitimate concerns about the guest 's behavior ."
1,"you agree that yahoo may , without prior notice , immediately terminate , limit your access to or suspend your yahoo account , any associated email address , and access to the yahoo services ."
0,"- the subscriber 's name , address , and telephone number , and a statement that the subscriber consents to the jurisdiction of federal district court for the judicial district in which the address is located , or if the subscriber 's address is outside of the united states , for any judicial district in which 9gag may be found , and that the subscriber will accept service of process from the person who provided a notification of claimed infringement as set forth above or an agent of such person ."
0,essential contractual obligations are such duties of airbnb in whose proper fulfilment you regularly trust and must trust for the proper execution of the contract but the amount shall be limited to the typically occurring foreseeable damage .
0,"some jurisdictions do not allow the exclusion or limitation of liability for consequential or incidental damages , so the above limitation may not apply to you ."
0,"headspace ® , the headspace logo and all other headspace product or service marks are trademarks of headspace ."
0,"these terms of use constitute the entire agreement between you and instagram and governs your use of the service , superseding any prior agreements between you and instagram ."
1,"all disputes arising out of , relating to , or in connection with these terms or your use of the products that can not be resolved informally or in small claims court will be resolved through binding arbitration on an individual basis , except that you and headspace are not required to arbitrate any dispute in which either party seeks equitable relief for the alleged unlawful use of copyrights , trademarks , trade names , logos , trade secrets , or patents ."
0,"youtube has no control over , and assumes no responsibility for , the content , privacy policies , or practices of any third party websites ."
0,"when used with onavo 's permission , all trademarks must be identified as trademarks of onavo using the appropriate symbol -lrb- e.g. , ™ or ® -rrb- ."
1,your continued use of this site after such modifications will constitute acknowledgment and agreement of the modified terms and conditions .
0,"you are responsible for providing all connections , plans , and/or equipment needed to use the services and for paying the fees charged by the provider -lrb- s -rrb- of your connections , plans , and equipment ."
0,"the arbitrator will decide the jurisdiction of the arbitrator and the rights and liabilities , if any , of you and headspace ."
0,"you agree to be bound by any of the changes made in these terms of the agreement , including changes to any and all documents , forms and policies incorporated thereto ."
1,"duolingo 's liability to you or any third party claiming through you for any cause whatsoever , and regardless of the form of the action , is limited to the amount paid , if any , by you to duolingo for the service in the 12 months prior to the initial action giving rise to liability ."
0,"monitor the services ' availability , performance or functionality for any competitive purpose ;"
0,"for a summary of our terms of use , go to summary of terms ."
1,8.1.2 viber may change the rates for calling phones at any time without notice to you by posting such change at http://account.viber.com/ .
1,"if you reside outside of the united states , canada , and brazil , these terms and the relationship between you and evernote -lrb- including any dispute -rrb- shall be governed in all respects by the laws of switzerland and shall be considered to have been made and accepted in switzerland , without regard to conflict of law provisions ."
0,"members agree to cooperate with and assist airbnb in good faith , and to provide airbnb with such information and take such actions as may be reasonably requested by airbnb with respect to any investigation undertaken by airbnb or a representative of airbnb regarding the use or abuse of the airbnb platform ."
0,any unauthorised use of the services is strictly prohibited and will terminate the licence granted in these terms .
0,we assert full copyright protection in the service .
1,"if you or spotify terminate the agreements , or if spotify suspends your access to the spotify service , you agree that spotify shall have no liability or responsibility to you and spotify will not refund any amounts that you have already paid , to the fullest extent permitted under applicable law ."
0,the arbitrator may award declaratory or injunctive relief only on an individual basis and only to the extent necessary to provide relief warranted by the claimant 's individual claim .
0,"we endeavour to provide the best service we can , but you understand and agree that the spotify service is provided `` as is '' and `` as available '' , without express or implied warranty or condition of any kind ."
0,"`` services '' refers to products , games , services , content , zynga.com and/or the other domains provided by zynga ."
1,"onavo reserves the right to make corrections , modifications , enhancements , improvements and other changes to the services at any time or to discontinue the services without notice ."
0,"18.10 avc/h .264 notice : if the software is used to make video calls -lrb- i -rrb- between a personal computer and a device that is not a personal computer or -lrb- ii -rrb- between devices that are not personal computers , the avc/h .264 codec may be used to facilitate video functionality in which case the following notice applies : the avc video functionality in this product is licensed under the avc patent portfolio license for the personal and non-commercial use of a consumer to -lrb- i -rrb- encode video in compliance with the avc standard -lrb- `` avc video '' -rrb- and/or -lrb- ii -rrb- decode avc video that was encoded by a consumer engaged in a personal and non-commercial activity and/or was obtained from a video provider licensed to provide avc video ."
0,the limitations of liability provided in these terms inure to the benefit of the tripadvisor media group companies .
0,"individuals under the age of 18 , or the applicable age of majority , may utilize the products only with the involvement and consent of a parent or legal guardian , under such person 's account and otherwise subject to these terms ."
0,"you will not , directly or indirectly , export , re-export , provide , or otherwise transfer our services : -lrb- a -rrb- to any individual , entity , or country prohibited by export laws ; -lrb- b -rrb- to anyone on u.s. or non-u.s. government restricted parties lists ; or -lrb- c -rrb- for any purpose prohibited by export laws , including nuclear , chemical , or biological weapons , or missile technology applications without the required government authorizations ."
0,"the license shall remain in force subject to the payment of license fees , if any , unless terminated in accordance with section 8 ."
1,"if you use any such software development kit or api -lrb- as applicable -rrb- you agree that you have read and will comply with the applicable licensing terms , which are available on http://developer.skype.com/ ."
0,"if we disable your account for a violation of our terms , you will not create another account without our permission ."
0,"other than as expressly set forth in this agreement , subscriber may not copy , modify , publish , transmit , upload , participate in the transfer or sale of , reproduce -lrb- except as provided in this section -rrb- , create derivative works based on , distribute , perform , display , or in any way exploit , any of the content , software , materials , or services in whole or in part ."
0,your use of the service is at your own risk .
0,"we provide our services for information purposes only , and ca n't be held liable if you get injured or something goes wrong ."
0,account deletion : you may delete your account at any time .
0,"you may contact vivino at the following address : vivino , njalsgade 21 e , 2 ."
1,"we may terminate your account if we determine in our discretion that such action is necessary or advisable to comply with legal requirements or protect the rights or interests of linden lab , the service community or any third party ."
0,any relief awarded can not affect other evernote users .
0,the federal arbitration act governs the interpretation and enforcement of this arbitration agreement .
0,"in using the service , you agree not to :"
0,11.1 the service is a united states-based service .
0,"if you do not agree to our terms , as amended , you must stop using our services ."
0,"as the interactive areas are often public , you understand that your user-generated content may be made and remain public ."
